asset_id,glossary_name,term_name,display_name,description,logical_data_type,status,synonyms,domain_values,notes
37df412d-aae8-4f9d-b470-436ddb0f0a72,"Payments, Savings & Investments LDD",Accounting Entry Transaction Account Servicer Reference Id,Accounting Entry Transaction Account Servicer Reference Id,"Unique reference as assigned by the account servicing insitution (bank belonging to the account) to identify the instruction, related to the accounting entry",A35,Approved,ACG_ENTR_TXN_AC_SVCR_REF_ID|TX_ACCT_SVCR_REF,,This identification will always be assigned by bank and will be the unique reference for Controlability purposes ('Controleerbaarheid')
51567d8d-1989-4c1b-9460-b44079b569f6,"Payments, Savings & Investments LDD",Accounting Entry Transaction Control Datetime,Accounting Entry Transaction Control Datetime,"Date and time of processing, given by the Payment Factory to a transaction, related to the accounting entry in order to check the accuracy and completeness of payments",DT,Approved,ACG_ENTR_TXN_CNTL_DTS|TX_CTRL_DT_TM,,"This timestamp is used to guarantee timeliness, correctness and completeness of the processed transaction."
96564121-8e80-470c-b7e9-37953d5059fa,"Payments, Savings & Investments LDD",Accounting Entry Transaction Type Code,Accounting Entry Transaction Type Code,"Two character code specifying the type of financial transaction, related to the accounting entry.",A3,Approved,ACG_ENTR_TXN_TP_CODE|TX_TP,Transaction Type Description,"This is used, among others, for the representation on account statements. Example: transaction group 'GA' stand for 'Geldautomaat'."
dea4079f-4be4-4c2e-bbd7-ad61e8b53151,"Payments, Savings & Investments LDD",Accounting Entry Value Date,Accounting Entry Value Date,Date at which the accounting entry becomes interest bearing.,D,Approved,ACG_ENTR_VAL_DT,,
2fbce6fb-7e8e-4247-829c-1a623ed3ac9a,"Payments, Savings & Investments LDD",Accounting Entry Year Month,Accounting Entry Year Month,The year and month of the booking date of the accounting entry.,N6,Approved,ACG_ENTR_YM|YEAR_MONTH,,Format: YYYYMM
e1684a07-a1ac-4769-b528-634bcb2edcb7,"Payments, Savings & Investments LDD",Account Number,Account Number,"Identifier used nationally by financial institutions, ie, in individual countries, generally as part of a National Account Numbering Scheme(s), to uniquely identify the account of a customer.",N10,Approved,AC_NO,,Synonym: BBAN
7f85d082-613a-4254-9255-eee115b24212,"Payments, Savings & Investments LDD",Account Status Code,Account Status Code,Code indicating the status of the payment account (basic payment agreement).,A1,Approved,AC_ST_CODE,"A,N,O","A: Actief,N: Opgeheven maar nog financieel af te handelen,O: Opgeheven en financieel afgewikkeld"
9ae91d2d-be24-4f52-95ec-1235164a6067,"Payments, Savings & Investments LDD",Actual Book Balance,Actual Book Balance,The total amount in euro of all entries on an account until the moment of the request.,"DC18,2",Approved,ACT_BOOK_BAL,,
6f0e870d-9bc2-44d9-be88-33ec84a25701,"Payments, Savings & Investments LDD",Address Counter Account Desired Flag,Address Counter Account Desired Flag,An indicator that comprises if the address and domicile (as far as available) have to added to the informationproduct.,A1,Approved,ADDR_CNTER_AC_DSRD_F,"J,N","J: Ja, N: Nee"
bfcf70bc-45fa-44e6-9102-327facf46ea5,"Payments, Savings & Investments LDD",After Mutation Basic Payment Agreement Location Code,After Mutation Basic Payment Agreement Location Code,"The code of the administrative location (main office, branch office, counter) on which the local bank wants information about the account such as reports to be registered, after the change",N2,Approved,AF_MUT_BBO_LO_CODE,00-99,The location code account can be an identifier for: - a location of a local bank - a branch of a local bank - a department within a branch - a special group. The local banks decide for themselves what location codes they want to use. The management of these codes is therefore entirely the responsibility of the local banks and this information is not known to the central systems. The central systems can therefore not carry out any checks on them. The default value is '00'. There is no direct relationship between the location code account and the local bank location.
019cdcf8-3c88-76ca-9b48-c319f9e2e3a0,"Payments, Savings & Investments LDD",After Mutation Basic Payment Agreement  Status Code,After Mutation Basic Payment Agreement  Status Code,Code that indicates the status of a basic payment agreement after a mutation.,A1,Approved,AF_MUT_BBO_ST,"‘A’ is Active
‘O’ is Closed",
f49e6f11-6019-4956-ad0a-cafd141a9af9,"Payments, Savings & Investments LDD",After Mutation Basic Payment Product Number,After Mutation Basic Payment Product Number,"The identifying number of the product and associated product conditions which are agreed with the customer, after the change",N4,Approved,AF_MUT_BBP_NO,BBP Information,Code (number) indicating a product related to a Basic Payment Agreement (BBO). Also called 'accounttype'
3d7192b9-7ec5-49b5-8ea1-812bd08cedc9,"Payments, Savings & Investments LDD",After Mutation General Ledger Financial Entity Code,After Mutation General Ledger Financial Entity Code,"The code of the financial entity in the General ledger under which the bookings concerning the Account agreement is reported, after the change.",N4,Approved,AF_MUT_GL_FNC_ENT_CODE,Profit Centers (FEs),
34483de3-85ad-4bbd-972a-b0ece25b1ff5,"Payments, Savings & Investments LDD",After Mutation General Ledger Operating Unit Code,After Mutation General Ledger Operating Unit Code,"The code in the General ledger under which the Account agreement related Profit-loss is managed, after the change",A8,Approved,AF_MUT_GL_OPRG_UNIT_CODE,General Ledger Operating Unit Code (Finance is owner),
39f700cb-89cb-462d-b83b-f60401ca701e,"Payments, Savings & Investments LDD",After Mutation Office Number,After Mutation Office Number,"The unique identifier for a bank institution, after the change",N4,Approved,AF_MUT_OFFC_NO,Office Administration (Bank Codes),
26c91cb7-544f-436e-9d61-9b6dd4634f13,"Payments, Savings & Investments LDD",After Mutation Related Institution Id,After Mutation Related Institution Id,"The unique code of institutions / companies (within the bank Group) for which local banks act as an intermediate, after the change",N4,Approved,AF_MUT_REL_INST_ID,Company Structure GROUP,
aacc201a-25d2-477b-9b22-95f6af930a68,"Payments, Savings & Investments LDD",Agreement Discount Arrangement End Date,Agreement Discount Arrangement End Date,The last date a discount arrangement is valid for an agreement,D,Approved,AGRM_DCN_AR_END_DAT|AGRM_DCN_AR_END_DT,,30: 1-4-2010; 302: 1-5-2020; 340:1-6-2015; 400: 1-1-2020
34cd9d86-6aca-4c02-ad2e-5abd040623d9,"Payments, Savings & Investments LDD",Agreement Discount Arrangement Start Date,Agreement Discount Arrangement Start Date,The first date a discount arrangement is valid for an agreement,D,Approved,AGRM_DCN_AR_STRT_DT,,340: 31-12-2022
aa832235-d88d-4fc7-84b2-5126fb137e62,"Payments, Savings & Investments LDD",Amount Currency Code,Amount Currency Code,3-letter currency code according to ISO standard 4217,A3,Approved,AMT_CCY_CODE,ISO 4217 Currency Code,
2e2d81c1-d8c0-4e5d-a99e-e422e5d28a3d,"Payments, Savings & Investments LDD",APO Beneficiary Name,APO Beneficiary Name,Name of the beneficiary as raised by the debtor of the APO,A70,Approved,APO_BENF_NM,,
9e9a37c3-9828-4fb3-b0b6-aaff42751fdb,"Payments, Savings & Investments LDD",APO Contract Change Datetime,APO Contract Change Datetime,Date and timestamp of latest received modification to the APO agreement by bank initiated by customer,DT,Approved,APO_CTR_CHG_DTS,,
258127c8-d5c3-4a2d-ba4f-4576dc5fda98,"Payments, Savings & Investments LDD",APO End Date,APO End Date,Date that the payment transaction as a result of the APO will be offered for the last time to the payment engine,D,Approved,APO_END_DT|PeriodicEndDate,,
c6b89af2-fc68-44be-ab2a-f8e4eb42b575,"Payments, Savings & Investments LDD",APO Id,APO Id,Unique identification of the APO,A16,Approved,APO_ID,,
19e42594-877e-4655-8088-ba884486ffe2,"Payments, Savings & Investments LDD",APO Modify Code,APO Modify Code,Code that indicaties the kind of modification that is delivered in the dataset with APO data,A1,Approved,APO_MOD_CODE,"I,U,D","I = New APO,U = Modified APO,D = Deleted APO"
6a831dd0-f024-4dcb-abb6-0e064706eb14,"Payments, Savings & Investments LDD",APO Mutation Datetime,APO Mutation Datetime,"Date and timestamp of a mutation on the APO made by customer, DBA or system.",DT,Approved,APO_MUT_DTS,,
54e63937-d365-4287-84ed-bc3ea23e9a22,"Payments, Savings & Investments LDD",APO Next Execution Date,APO Next Execution Date,Date that the payment transaction as a result of the APO has to be offered to the payment engine next time,D,Approved,APO_NXT_EXEC_DT,,
a5a46064-6233-4fa0-a5a5-6c1accd44e24,"Payments, Savings & Investments LDD",APO Number Of Executions,APO Number Of Executions,Number of times the payment transaction as a result of the APO has to be executed,N10,Approved,APO_NBR_OF_EXEC,,
eaa2ccee-7f00-4df7-a77f-bbb997d9d48b,"Payments, Savings & Investments LDD",APO Period Unit Code,APO Period Unit Code,Entity indicating the period for repeating the execution of the APO,A1,Approved,APO_PRD_UNIT_CODE,"w,m,y","Allowed values: w (week), m( month) and y (year)"
3b9e11b3-284d-4480-a003-0cfb47c1a19d,"Payments, Savings & Investments LDD",APO Period Unit Number,APO Period Unit Number,Quantity of repetition period expression to be used for calculation of the APO next execution date,N10,Approved,APO_PRD_UNIT_NBR,Allowed values in combination with field,
89215d7d-fb4a-4e9c-a48e-6aa7887cba7d,"Payments, Savings & Investments LDD",APO Rounding Code,APO Rounding Code,Code indicating how to round the amount of the APO.,N10,Approved,APO_RND_CODE,"0 - No rounding 
1 - Rounding to €        1,00 
2 - Rounding to €        2,00
3 - Rounding to €        5,00
4 - Rounding to €      50,00
5 - Rounding to €    100,00
6 - Rounding to € 1.000,00",
4da74287-5734-41bb-820d-bc4b86185ae4,"Payments, Savings & Investments LDD",APO Saldo Sparen Maximum Transaction Euro Amount,APO Saldo Sparen Maximum Transaction Euro Amount,The maximum amount in Euro allowed for generated Saldo Sparen APO transaction,"DC20,4",Approved,APO_SALDO_SPA_MAX_TXN_E_AMT,,
085a5206-9117-41c1-b225-e7e1f1760697,"Payments, Savings & Investments LDD",APO Saldo Sparen Minimum Account Euro Balance,APO Saldo Sparen Minimum Account Euro Balance,The minimum balance in Euro which should be available on the current account after executing a Saldo Sparen payment instruction,"DC20,4",Approved,APO_SALDO_SPA_MIN_AC_E_BAL,,
983a22ea-2660-4687-97fb-8323309dac74,"Payments, Savings & Investments LDD",APO Saldo Sparen Minimum Transaction Euro Amount,APO Saldo Sparen Minimum Transaction Euro Amount,The minimum amount in Euro allowed for generated Saldo Sparen APO transaction,"DC20,4",Approved,APO_SALDO_SPA_MIN_TXN_E_AMT,,
3aeac35a-aac8-4aeb-89c8-9479ebe29bfb,"Payments, Savings & Investments LDD",APO Status Code,APO Status Code,State of the APO agreement during the life cycle.,N10,Approved,APO_ST_CODE,"1,2,3,5,9","Legal values: ,1 - To be verified,2 - To be released,3 - Active,5 - Rejected,9 - Ended"
e6f75961-f91a-43e4-9d4c-0c70c885e5ae,"Payments, Savings & Investments LDD",APO Type Code,APO Type Code,Code indicating the APO type.,N10,Approved,APO_TYPE_CODE,"00,01","00 = normale APO, 01 = Saldo sparen APO"
e1ba8158-2129-4936-9219-a44bba74af70,"Payments, Savings & Investments LDD",Autonomous Detailed Transaction Type Additional Description,Autonomous Detailed Transaction Type Additional Description,The additional description of the autonomous detailed transaction type.,A250,Approved,AUTN_DTL_TXN_TP_ADL_DSC,Transaction Group Autonomous,
eedd55c1-6ffd-4a63-bf94-08c65cbc3d91,"Payments, Savings & Investments LDD",Autonomous Detailed Transaction Type Code,Autonomous Detailed Transaction Type Code,The unique code of the autonomous detailed transaction type.,A3,Approved,AUTN_DTL_TXN_TP_CODE,Transaction Group Autonomous,"Synonym: Autonomous Tariff Group. e.g. BGP: Behandelingsprovisie bankgarantie,BGZ: Behandelingsprovisie bankgarantie"
c8166056-932d-4440-b58e-1459c5592da6,"Payments, Savings & Investments LDD",Autonomous Detailed Transaction Type Dutch Description,Autonomous Detailed Transaction Type Dutch Description,The description of the autonomous detailed transaction type in Dutch.,A35,Approved,AUTN_DTL_TXN_TP_NL_DSC,Transaction Group Autonomous,
733d7740-46d7-4b9c-903c-0ef9eaf561db,"Payments, Savings & Investments LDD",Autonomous Detailed Transaction Type End Date,Autonomous Detailed Transaction Type End Date,The last date of the period in which the autonomous detailed transaction type is valid.,D,Approved,AUTN_DTL_TXN_TP_END_DT,Transaction Group Autonomous,Expressed in YYYY-MM-DD
3ff987d1-9253-43c2-8bb5-c36abc84a926,"Payments, Savings & Investments LDD",Autonomous Detailed Transaction Type English Description,Autonomous Detailed Transaction Type English Description,The description of the autonomous detailed transaction type in English.,A35,Approved,AUTN_DTL_TXN_TP_EN_DSC,Transaction Group Autonomous,
